UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 18:07 ?        00:00:01 /sbin/init splash
root           2       0  0 18:07 ?        00:00:00 [kthreadd]
root           3       2  0 18:07 ?        00:00:00 [rcu_gp]
root           4       2  0 18:07 ?        00:00:00 [rcu_par_gp]
root           5       2  0 18:07 ?        00:00:00 [slub_flushwq]
root           6       2  0 18:07 ?        00:00:00 [netns]
root           8       2  0 18:07 ?        00:00:00 [kworker/0:0H-events_highpri]
root          10       2  0 18:07 ?        00:00:00 [mm_percpu_wq]
root          11       2  0 18:07 ?        00:00:00 [rcu_tasks_kthread]
root          12       2  0 18:07 ?        00:00:00 [rcu_tasks_rude_kthread]
root          13       2  0 18:07 ?        00:00:00 [rcu_tasks_trace_kthread]
root          14       2  0 18:07 ?        00:00:00 [ksoftirqd/0]
root          15       2  0 18:07 ?        00:00:00 [rcu_preempt]
root          16       2  0 18:07 ?        00:00:00 [migration/0]
root          17       2  0 18:07 ?        00:00:00 [idle_inject/0]
root          19       2  0 18:07 ?        00:00:00 [cpuhp/0]
root          20       2  0 18:07 ?        00:00:00 [cpuhp/1]
root          21       2  0 18:07 ?        00:00:00 [idle_inject/1]
root          22       2  0 18:07 ?        00:00:00 [migration/1]
root          23       2  0 18:07 ?        00:00:00 [ksoftirqd/1]
root          25       2  0 18:07 ?        00:00:00 [kworker/1:0H-events_highpri]
root          26       2  0 18:07 ?        00:00:00 [kdevtmpfs]
root          27       2  0 18:07 ?        00:00:00 [inet_frag_wq]
root          28       2  0 18:07 ?        00:00:00 [kauditd]
root          29       2  0 18:07 ?        00:00:00 [khungtaskd]
root          31       2  0 18:07 ?        00:00:00 [oom_reaper]
root          33       2  0 18:07 ?        00:00:00 [writeback]
root          34       2  0 18:07 ?        00:00:00 [kcompactd0]
root          35       2  0 18:07 ?        00:00:00 [ksmd]
root          36       2  0 18:07 ?        00:00:00 [khugepaged]
root          37       2  0 18:07 ?        00:00:00 [kintegrityd]
root          38       2  0 18:07 ?        00:00:00 [kblockd]
root          39       2  0 18:07 ?        00:00:00 [blkcg_punt_bio]
root          40       2  0 18:07 ?        00:00:00 [tpm_dev_wq]
root          41       2  0 18:07 ?        00:00:00 [ata_sff]
root          42       2  0 18:07 ?        00:00:00 [md]
root          43       2  0 18:07 ?        00:00:00 [edac-poller]
root          44       2  0 18:07 ?        00:00:00 [devfreq_wq]
root          45       2  0 18:07 ?        00:00:00 [watchdogd]
root          47       2  0 18:07 ?        00:00:00 [kworker/1:1H-kblockd]
root          48       2  0 18:07 ?        00:00:00 [kswapd0]
root          49       2  0 18:07 ?        00:00:00 [ecryptfs-kthread]
root          55       2  0 18:07 ?        00:00:00 [kthrotld]
root          60       2  0 18:07 ?        00:00:00 [acpi_thermal_pm]
root          61       2  0 18:07 ?        00:00:00 [xenbus_probe]
root          62       2  0 18:07 ?        00:00:00 [scsi_eh_0]
root          63       2  0 18:07 ?        00:00:00 [scsi_tmf_0]
root          64       2  0 18:07 ?        00:00:00 [scsi_eh_1]
root          65       2  0 18:07 ?        00:00:00 [scsi_tmf_1]
root          66       2  0 18:07 ?        00:00:00 [vfio-irqfd-clea]
root          68       2  0 18:07 ?        00:00:00 [mld]
root          69       2  0 18:07 ?        00:00:00 [ipv6_addrconf]
root          74       2  0 18:07 ?        00:00:00 [kstrp]
root          80       2  0 18:07 ?        00:00:00 [zswap-shrink]
root          81       2  0 18:07 ?        00:00:00 [kworker/u5:0]
root         127       2  0 18:07 ?        00:00:00 [charger_manager]
root         171       2  0 18:07 ?        00:00:00 [kworker/0:1H-kblockd]
root         172       2  0 18:07 ?        00:00:00 [kworker/1:3-events]
root         173       2  0 18:07 ?        00:00:00 [scsi_eh_2]
root         174       2  0 18:07 ?        00:00:00 [scsi_tmf_2]
root         202       2  0 18:07 ?        00:00:00 [jbd2/sda3-8]
root         203       2  0 18:07 ?        00:00:00 [ext4-rsv-conver]
root         242       1  0 18:07 ?        00:00:00 /lib/systemd/systemd-journald
root         265       2  0 18:07 ?        00:00:00 [kworker/0:3-events]
root         274       1  0 18:07 ?        00:00:00 /lib/systemd/systemd-udevd
root         284       2  0 18:07 ?        00:00:00 [irq/18-vmwgfx]
root         285       2  0 18:07 ?        00:00:00 [card0-crtc0]
root         286       2  0 18:07 ?        00:00:00 [card0-crtc1]
root         287       2  0 18:07 ?        00:00:00 [card0-crtc2]
root         288       2  0 18:07 ?        00:00:00 [card0-crtc3]
root         289       2  0 18:07 ?        00:00:00 [card0-crtc4]
root         290       2  0 18:07 ?        00:00:00 [card0-crtc5]
root         291       2  0 18:07 ?        00:00:00 [card0-crtc6]
root         292       2  0 18:07 ?        00:00:00 [card0-crtc7]
root         358       2  0 18:07 ?        00:00:00 [cryptd]
systemd+     424       1  0 18:07 ?        00:00:02 /lib/systemd/systemd-oomd
systemd+     425       1  0 18:07 ?        00:00:00 /lib/systemd/systemd-resolved
systemd+     426       1  0 18:07 ?        00:00:00 /lib/systemd/systemd-timesyncd
root         614       1  0 18:07 ?        00:00:00 /usr/libexec/accounts-daemon
root         616       1  0 18:07 ?        00:00:00 /usr/sbin/acpid
avahi        618       1  0 18:07 ?        00:00:00 avahi-daemon: running [ubuntu.local]
root         619       1  0 18:07 ?        00:00:00 /usr/sbin/cron -f -P
message+     620       1  0 18:07 ?        00:00:00 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         623       1  0 18:07 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
